Data Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scores reflect all ILEARN Spring 2024 testers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*** - Indicates less than 10 students in group.  Results have been supressed to protect student privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grade 3,,,,,,,Grade 4,,,,,,,Grade 5,,,,,,,Grade 6,,,,,,,Grade 7,,,,,,,Grade 8,,,,,,,Corporation Total,,,,,,,
5740,Monroe County Community Sch Corp,177,106,195,247,442,725,61.0%,206,121,231,177,408,735,55.5%,252,142,165,201,366,760,48.2%,244,164,170,189,359,767,46.8%,230,140,171,210,381,751,50.7%,212,168,148,227,375,755,49.7%,1321,841,1080,1251,2331,4493,51.9%,
5835,North Montgomery Com Sch Corp,35,32,37,35,72,139,51.8%,30,22,56,36,92,144,63.9%,23,16,40,44,84,123,68.3%,41,32,40,29,69,142,48.6%,30,43,38,20,58,131,44.3%,53,41,28,24,52,146,35.6%,212,186,239,188,427,825,51.8%,
5845,South Montgomery Com Sch Corp,18,20,50,40,90,128,70.3%,22,19,41,27,68,109,62.4%,22,22,32,53,85,129,65.9%,16,21,36,48,84,121,69.4%,38,25,42,28,70,133,52.6%,24,38,36,29,65,127,51.2%,140,145,237,225,462,747,61.8%,
5855,Crawfordsville Community Schools,39,32,59,43,102,173,59.0%,71,32,56,23,79,182,43.4%,61,46,36,34,70,177,39.5%,101,43,30,27,57,201,28.4%,86,49,36,25,61,196,31.1%,84,47,15,24,39,170,22.9%,442,249,232,176,408,1099,37.1%,
5900,Monroe-Gregg School District,39,31,36,15,51,121,42.1%,44,32,35,7,42,118,35.6%,47,29,29,7,36,112,32.1%,55,20,25,5,30,105,28.6%,51,40,20,7,27,118,22.9%,53,32,16,8,24,109,22.0%,289,184,161,49,210,683,30.7%,
5910,Eminence Community School Corp,7,5,3,0,3,15,20.0%,2,5,11,5,16,23,69.6%,5,4,5,2,7,16,43.8%,10,3,6,2,8,21,38.1%,11,7,0,0,0,18,0.0%,16,7,1,0,1,24,4.2%,51,31,26,9,35,117,29.9%,
5925,MSD Martinsville Schools,88,54,88,66,154,296,52.0%,84,61,88,53,141,286,49.3%,96,77,49,25,74,247,30.0%,87,64,72,42,114,265,43.0%,119,80,51,34,85,284,29.9%,104,77,65,49,114,295,38.6%,578,413,413,269,682,1673,40.8%,
5930,Mooresville Con School Corp,59,72,84,87,171,302,56.6%,66,60,138,52,190,316,60.1%,73,87,60,77,137,297,46.1%,86,75,80,73,153,314,48.7%,139,99,56,43,99,337,29.4%,128,85,46,55,101,314,32.2%,551,478,464,387,851,1880,45.3%,
5945,North Newton School Corp,13,21,30,15,45,79,57.0%,26,15,16,6,22,63,34.9%,36,22,13,11,24,82,29.3%,20,27,15,15,30,77,39.0%,32,23,13,8,21,76,27.6%,43,27,15,5,20,90,22.2%,170,135,102,60,162,467,34.7%,
5995,South Newton School Corp,24,15,27,10,37,76,48.7%,16,18,15,11,26,60,43.3%,10,18,23,14,37,65,56.9%,15,24,8,4,12,51,23.5%,22,24,20,6,26,72,36.1%,28,17,6,4,10,55,18.2%,115,116,99,49,148,379,39.1%,
6055,Central Noble Com School Corp,31,17,31,5,36,84,42.9%,21,23,25,11,36,80,45.0%,18,21,26,12,38,77,49.4%,22,20,20,11,31,73,42.5%,26,20,22,13,35,81,43.2%,33,16,19,14,33,82,40.2%,151,117,143,66,209,477,43.8%,
6060,East Noble School Corporation,103,53,66,44,110,266,41.4%,86,57,52,31,83,226,36.7%,92,65,48,30,78,235,33.2%,87,48,72,41,113,248,45.6%,108,79,36,31,67,254,26.4%,124,64,33,28,61,249,24.5%,600,366,307,205,512,1478,34.6%,
6065,West Noble School Corporation,61,46,46,14,60,167,35.9%,54,46,46,18,64,164,39.0%,54,44,29,19,48,146,32.9%,62,46,37,18,55,163,33.7%,62,51,23,17,40,153,26.1%,33,57,51,41,92,182,50.5%,326,290,232,127,359,975,36.8%,
6080,Rising Sun-Ohio Co Com,19,10,17,7,24,53,45.3%,35,11,18,2,20,66,30.3%,20,17,20,4,24,61,39.3%,34,12,8,1,9,55,16.4%,35,29,6,0,6,70,8.6%,44,10,8,2,10,64,15.6%,187,89,77,16,93,369,25.2%,
6145,Orleans Community Schools,28,16,17,5,22,66,33.3%,37,5,15,5,20,62,32.3%,22,15,11,6,17,54,31.5%,41,13,11,3,14,68,20.6%,39,27,14,1,15,81,18.5%,33,16,5,0,5,54,9.3%,200,92,73,20,93,385,24.2%,
6155,Paoli Community School Corp,28,24,29,24,53,105,50.5%,26,15,26,11,37,78,47.4%,22,25,28,9,37,84,44.0%,37,23,12,8,20,80,25.0%,39,25,17,7,24,88,27.3%,30,25,14,6,20,75,26.7%,182,137,126,65,191,510,37.5%,
6160,Springs Valley Com School Corp,6,6,19,18,37,49,75.5%,9,12,24,17,41,62,66.1%,26,22,16,9,25,73,34.2%,24,21,10,1,11,56,19.6%,23,18,8,5,13,54,24.1%,41,20,7,1,8,69,11.6%,129,99,84,51,135,363,37.2%,
6195,Spencer-Owen Community Schools,31,51,55,26,81,163,49.7%,39,32,50,29,79,150,52.7%,58,35,43,21,64,157,40.8%,70,34,37,17,54,158,34.2%,86,38,28,14,42,166,25.3%,69,42,28,17,45,156,28.8%,353,232,241,124,365,950,38.4%,
6260,Southwest Parke Com Sch Corp,10,13,26,19,45,68,66.2%,15,10,26,15,41,66,62.1%,22,22,11,10,21,65,32.3%,37,15,17,7,24,76,31.6%,31,19,9,9,18,68,26.5%,47,22,11,9,20,89,22.5%,162,101,100,69,169,432,39.1%,
6325,Perry Central Com Schools Corp,11,17,33,34,67,95,70.5%,12,10,42,20,62,84,73.8%,19,19,19,17,36,74,48.6%,28,15,14,28,42,85,49.4%,32,28,17,13,30,90,33.3%,32,22,10,13,23,77,29.9%,134,111,135,125,260,505,51.5%,
6340,Cannelton City Schools,6,3,1,1,2,11,18.2%,3,5,3,1,4,12,33.3%,4,3,7,2,9,16,56.3%,***,***,***,***,***,9,***,9,2,1,0,1,12,8.3%,12,4,0,0,0,16,0.0%,39,19,12,6,18,76,23.7%,
6350,Tell City-Troy Twp School Corp,17,21,30,27,57,95,60.0%,29,19,32,18,50,98,51.0%,35,25,26,14,40,100,40.0%,34,29,18,12,30,93,32.3%,48,28,19,8,27,103,26.2%,29,36,15,21,36,101,35.6%,192,158,140,100,240,590,40.7%,
6375,North Central Parke Comm Schl Corp,24,23,31,15,46,93,49.5%,24,30,25,10,35,89,39.3%,31,32,20,9,29,92,31.5%,27,20,20,10,30,77,39.0%,25,27,18,6,24,76,31.6%,34,29,16,9,25,88,28.4%,165,161,130,59,189,515,36.7%,
6445,Pike County School Corp,28,24,34,15,49,101,48.5%,26,32,30,21,51,109,46.8%,54,44,16,15,31,129,24.0%,46,36,23,11,34,116,29.3%,39,49,19,9,28,116,24.1%,43,41,24,17,41,125,32.8%,236,226,146,88,234,696,33.6%,
6455,Porter County Education Services,***,***,***,***,***,1,***,***,***,***,***,***,4,***,***,***,***,***,***,4,***,***,***,***,***,***,5,***,***,***,***,***,***,3,***,***,***,***,***,***,3,***,17,1,1,1,2,20,10.0%,
6460,MSD Boone Township,14,7,14,31,45,66,68.2%,16,25,19,15,34,75,45.3%,20,22,20,11,31,73,42.5%,7,17,24,22,46,70,65.7%,25,19,17,4,21,65,32.3%,24,24,12,9,21,69,30.4%,106,114,106,92,198,418,47.4%,
6470,Duneland School Corporation,49,61,142,149,291,401,72.6%,71,66,130,159,289,426,67.8%,55,87,113,157,270,412,65.5%,55,82,131,156,287,424,67.7%,57,95,144,131,275,427,64.4%,78,95,122,141,263,436,60.3%,365,486,782,893,1675,2526,66.3%,
6510,East Porter County School Corp,28,41,60,66,126,195,64.6%,38,52,68,32,100,190,52.6%,45,58,44,28,72,175,41.1%,33,69,48,43,91,193,47.2%,27,61,56,36,92,180,51.1%,59,67,51,20,71,197,36.0%,230,348,327,225,552,1130,48.8%,
6520,Porter Township School Corp,10,17,30,32,62,89,69.7%,16,21,34,25,59,96,61.5%,13,21,35,25,60,94,63.8%,22,31,20,16,36,89,40.4%,27,29,16,20,36,92,39.1%,48,31,15,15,30,109,27.5%,136,150,150,133,283,569,49.7%,
6530,Union Township School Corp,12,11,40,45,85,108,78.7%,7,15,44,46,90,112,80.4%,8,33,28,49,77,118,65.3%,18,35,34,23,57,110,51.8%,15,23,26,38,64,102,62.7%,12,27,33,28,61,100,61.0%,72,144,205,229,434,650,66.8%,
6550,Portage Township Schools,163,117,146,69,215,495,43.4%,206,90,121,46,167,463,36.1%,222,147,73,41,114,483,23.6%,273,114,70,36,106,493,21.5%,213,139,91,37,128,480,26.7%,228,158,86,44,130,516,25.2%,1305,765,587,273,860,2930,29.4%,
6560,Valparaiso Community Schools,46,64,154,208,362,472,76.7%,37,69,175,197,372,478,77.8%,89,99,117,167,284,472,60.2%,91,114,110,143,253,458,55.2%,104,135,126,132,258,497,51.9%,117,135,107,114,221,473,46.7%,484,616,789,961,1750,2850,61.4%,
6590,MSD Mount Vernon,22,19,51,60,111,152,73.0%,20,27,46,40,86,133,64.7%,19,30,40,74,114,163,69.9%,54,43,39,20,59,156,37.8%,63,35,31,33,64,162,39.5%,47,46,41,38,79,172,45.9%,225,200,248,265,513,938,54.7%,
6600,MSD North Posey Co Schools,8,8,28,55,83,99,83.8%,14,12,37,49,86,112,76.8%,13,15,35,46,81,109,74.3%,39,26,33,39,72,137,52.6%,15,22,25,36,61,98,62.2%,43,38,22,18,40,121,33.1%,132,121,180,243,423,676,62.6%,
6620,Eastern Pulaski Community Sch Corp,18,11,23,15,38,67,56.7%,21,21,28,15,43,85,50.6%,16,24,14,28,42,82,51.2%,12,14,34,28,62,88,70.5%,20,22,19,10,29,71,40.8%,34,25,8,21,29,88,33.0%,121,117,126,117,243,481,50.5%,
6630,West Central School Corp,21,14,11,7,18,53,34.0%,23,15,10,5,15,53,28.3%,25,18,13,5,18,61,29.5%,6,11,13,2,15,32,46.9%,21,18,5,6,11,50,22.0%,9,13,10,12,22,44,50.0%,105,89,62,37,99,293,33.8%,
6705,South Putnam Community Schools,7,17,23,20,43,67,64.2%,14,20,34,10,44,78,56.4%,28,23,22,14,36,87,41.4%,22,31,25,13,38,91,41.8%,35,25,20,16,36,96,37.5%,25,25,13,19,32,82,39.0%,131,141,137,92,229,501,45.7%,
6715,North Putnam Community Schools,17,10,35,25,60,87,69.0%,27,28,36,16,52,107,48.6%,38,29,19,14,33,100,33.0%,29,27,18,15,33,89,37.1%,36,32,20,11,31,99,31.3%,42,28,10,18,28,98,28.6%,189,154,138,99,237,580,40.9%,
6750,Cloverdale Community Schools,74,66,72,45,117,257,45.5%,105,74,62,21,83,262,31.7%,84,64,54,21,75,223,33.6%,97,41,36,22,58,196,29.6%,73,61,36,13,49,183,26.8%,72,32,20,11,31,135,23.0%,505,338,280,133,413,1256,32.9%,
6755,Greencastle Community School Corp,41,33,38,31,69,143,48.3%,53,22,32,21,53,128,41.4%,39,32,35,16,51,122,41.8%,48,31,28,29,57,136,41.9%,52,33,14,23,37,122,30.3%,69,29,18,13,31,129,24.0%,302,180,165,133,298,780,38.2%,
6795,Union School Corporation,229,35,28,9,37,301,12.3%,276,42,35,6,41,359,11.4%,366,43,26,4,30,439,6.8%,455,39,12,2,14,508,2.8%,590,103,20,4,24,717,3.3%,866,90,21,11,32,988,3.2%,2782,352,142,36,178,3312,5.4%,
6805,Randolph Southern School Corp,8,12,12,10,22,42,52.4%,6,12,9,4,13,31,41.9%,6,4,5,12,17,27,63.0%,10,9,10,8,18,37,48.6%,10,10,5,6,11,31,35.5%,18,6,5,5,10,34,29.4%,58,53,46,45,91,202,45.0%,
6820,Monroe Central School Corp,18,25,39,17,56,99,56.6%,19,22,29,10,39,80,48.8%,12,25,19,24,43,80,53.8%,23,14,25,20,45,82,54.9%,24,16,32,13,45,85,52.9%,30,25,11,10,21,76,27.6%,126,127,155,94,249,502,49.6%,
6825,Randolph Central School Corp,46,16,33,23,56,118,47.5%,27,20,27,9,36,83,43.4%,31,29,30,20,50,110,45.5%,37,27,32,12,44,108,40.7%,41,26,18,11,29,96,30.2%,50,21,7,8,15,86,17.4%,232,139,147,83,230,601,38.3%,
6835,Randolph Eastern School Corp,26,19,9,6,15,60,25.0%,31,23,12,5,17,71,23.9%,29,23,11,0,11,63,17.5%,46,18,15,4,19,83,22.9%,38,22,8,2,10,70,14.3%,32,16,4,1,5,53,9.4%,202,121,59,18,77,400,19.3%,
6865,South Ripley Com Sch Corp,0,8,31,23,54,62,87.1%,8,7,32,36,68,83,81.9%,21,20,17,13,30,71,42.3%,15,18,28,12,40,73,54.8%,13,25,24,16,40,78,51.3%,16,21,27,20,47,84,56.0%,73,99,159,120,279,451,61.9%,
6895,Batesville Community School Corp,23,24,56,55,111,158,70.3%,27,20,62,39,101,148,68.2%,43,55,39,34,73,171,42.7%,45,51,57,16,73,169,43.2%,51,53,40,15,55,159,34.6%,53,36,41,36,77,166,46.4%,242,239,295,195,490,971,50.5%,
6900,Jac-Cen-Del Community Sch Corp,8,7,22,15,37,52,71.2%,22,13,15,7,22,57,38.6%,18,9,15,8,23,50,46.0%,19,12,8,8,16,47,34.0%,22,16,9,4,13,51,25.5%,19,26,11,3,14,59,23.7%,108,83,80,45,125,316,39.6%,
6910,Milan Community Schools,25,16,28,7,35,76,46.1%,18,26,19,10,29,73,39.7%,27,25,30,7,37,89,41.6%,21,20,18,8,26,67,38.8%,31,40,10,6,16,87,18.4%,41,31,6,4,10,82,12.2%,163,158,111,42,153,474,32.3%,
6995,Rush County Schools,45,30,42,16,58,133,43.6%,52,31,24,8,32,115,27.8%,55,35,22,22,44,134,32.8%,69,32,26,13,39,140,27.9%,59,32,27,21,48,139,34.5%,42,37,30,22,52,131,39.7%,322,197,171,102,273,792,34.5%,
7150,John Glenn School Corporation,28,37,65,28,93,158,58.9%,22,35,58,26,84,141,59.6%,30,26,46,34,80,136,58.8%,42,21,40,37,77,140,55.0%,46,49,35,21,56,151,37.1%,43,54,28,20,48,145,33.1%,211,222,272,166,438,871,50.3%,
7175,Penn-Harris-Madison School Corp,143,101,238,341,579,823,70.4%,141,98,263,304,567,806,70.3%,148,150,197,367,564,862,65.4%,225,191,225,219,444,860,51.6%,209,227,190,239,429,865,49.6%,169,172,167,261,428,769,55.7%,1035,939,1280,1731,3011,4985,60.4%,
7200,School City of Mishawaka,162,82,91,57,148,392,37.8%,166,78,90,35,125,369,33.9%,162,99,75,60,135,396,34.1%,180,92,57,45,102,374,27.3%,204,77,42,19,61,342,17.8%,224,63,29,28,57,344,16.6%,1098,491,384,244,628,2217,28.3%,
7205,South Bend Community School Corp,541,185,145,94,239,965,24.8%,629,152,121,64,185,966,19.2%,648,181,95,59,154,983,15.7%,635,145,84,46,130,910,14.3%,633,161,71,49,120,914,13.1%,712,137,69,48,117,966,12.1%,3798,961,585,360,945,5704,16.6%,
7215,Union-North United School Corp,35,19,30,13,43,97,44.3%,28,26,31,12,43,97,44.3%,39,17,15,7,22,78,28.2%,24,24,16,14,30,78,38.5%,43,38,16,3,19,100,19.0%,44,22,9,4,13,79,16.5%,213,146,117,53,170,529,32.1%,
7230,Scott County School District 1,41,16,27,8,35,92,38.0%,37,16,27,5,32,85,37.6%,46,13,10,6,16,75,21.3%,57,17,4,5,9,83,10.8%,50,18,7,3,10,78,12.8%,54,27,5,2,7,88,8.0%,285,107,80,29,109,501,21.8%,
7255,Scott County School District 2,46,48,74,52,126,220,57.3%,43,54,83,29,112,209,53.6%,47,45,46,37,83,175,47.4%,69,38,45,37,82,189,43.4%,70,55,39,23,62,187,33.2%,50,56,32,25,57,163,35.0%,325,296,319,203,522,1143,45.7%,
7285,Shelby Eastern Schools,21,26,32,16,48,95,50.5%,17,16,37,22,59,92,64.1%,30,24,34,19,53,107,49.5%,26,22,22,26,48,96,50.0%,36,26,20,8,28,90,31.1%,40,30,21,0,21,91,23.1%,170,144,166,91,257,571,45.0%,
7350,Northwestern Con School Corp,22,24,26,23,49,95,51.6%,19,17,28,21,49,85,57.6%,20,23,23,29,52,95,54.7%,16,26,39,27,66,108,61.1%,35,29,33,14,47,111,42.3%,62,26,18,4,22,110,20.0%,174,145,167,118,285,604,47.2%,
7360,Southwestern Con Sch Shelby Co,11,11,13,8,21,43,48.8%,13,8,11,9,20,41,48.8%,20,9,8,8,16,45,35.6%,12,11,11,9,20,43,46.5%,18,18,4,0,4,40,10.0%,31,19,5,1,6,56,10.7%,105,76,52,35,87,268,32.5%,
7365,Shelbyville Central Schools,74,42,93,55,148,264,56.1%,83,55,81,40,121,259,46.7%,94,66,66,47,113,273,41.4%,117,81,68,29,97,295,32.9%,136,67,45,37,82,285,28.8%,142,51,41,33,74,267,27.7%,646,362,394,241,635,1643,38.6%,
7385,North Spencer County Sch Corp,33,16,49,60,109,158,69.0%,23,16,32,73,105,144,72.9%,22,22,40,52,92,136,67.6%,25,30,40,68,108,163,66.3%,31,29,45,66,111,171,64.9%,26,34,30,46,76,136,55.9%,160,147,236,365,601,908,66.2%,
7445,South Spencer County Sch Corp,19,14,28,24,52,85,61.2%,16,15,30,12,42,73,57.5%,28,18,25,9,34,80,42.5%,9,17,13,23,36,62,58.1%,23,22,14,10,24,69,34.8%,24,24,15,11,26,74,35.1%,119,110,125,89,214,443,48.3%,
7495,Oregon-Davis School Corp,11,3,11,4,15,29,51.7%,10,10,17,2,19,39,48.7%,13,12,8,3,11,36,30.6%,9,14,9,5,14,37,37.8%,24,7,6,1,7,38,18.4%,37,5,1,1,2,44,4.5%,104,51,52,16,68,223,30.5%,
7515,North Judson-San Pierre Sch Corp,16,13,15,14,29,58,50.0%,17,12,15,7,22,51,43.1%,28,28,17,4,21,77,27.3%,19,19,22,11,33,71,46.5%,19,23,15,12,27,69,39.1%,40,17,5,6,11,68,16.2%,139,112,89,54,143,394,36.3%,
7525,Knox Community School Corp,46,37,25,22,47,130,36.2%,32,20,45,25,70,122,57.4%,57,35,21,10,31,123,25.2%,52,34,24,6,30,116,25.9%,46,29,19,5,24,99,24.2%,77,21,15,5,20,118,16.9%,310,176,149,73,222,708,31.4%,
7605,Fremont Community Schools,18,15,26,15,41,74,55.4%,19,21,27,9,36,76,47.4%,21,24,14,4,18,63,28.6%,24,22,17,13,30,76,39.5%,17,20,14,20,34,71,47.9%,17,36,20,12,32,85,37.6%,116,138,118,73,191,445,42.9%,
7610,Hamilton Community Schools,3,5,12,8,20,28,71.4%,10,7,7,2,9,26,34.6%,10,10,8,3,11,31,35.5%,8,6,3,2,5,19,26.3%,7,8,5,1,6,21,28.6%,11,2,3,4,7,20,35.0%,49,38,38,20,58,145,40.0%,
7615,MSD Steuben County,72,43,47,22,69,184,37.5%,67,34,51,34,85,186,45.7%,53,54,44,27,71,178,39.9%,42,50,50,28,78,170,45.9%,64,58,34,30,64,186,34.4%,65,37,35,23,58,160,36.3%,363,276,261,164,425,1064,39.9%,
7645,Northeast School Corp,13,14,19,3,22,49,44.9%,9,17,19,4,23,49,46.9%,30,16,12,6,18,64,28.1%,14,17,21,4,25,56,44.6%,35,13,12,3,15,63,23.8%,54,4,0,1,1,59,1.7%,155,81,83,21,104,340,30.6%,
7715,Southwest School Corporation,31,34,46,24,70,135,51.9%,42,39,41,16,57,138,41.3%,51,50,29,15,44,145,30.3%,46,32,49,30,79,157,50.3%,39,36,36,17,53,128,41.4%,69,35,24,22,46,150,30.7%,278,226,225,124,349,853,40.9%,
7775,Switzerland County School Corp,41,20,37,17,54,115,47.0%,27,30,33,17,50,107,46.7%,35,27,33,15,48,110,43.6%,46,36,21,7,28,110,25.5%,39,27,24,11,35,101,34.7%,38,40,18,8,26,104,25.0%,226,180,166,75,241,647,37.2%,
7855,Lafayette School Corporation,201,101,159,112,271,573,47.3%,235,131,143,75,218,584,37.3%,258,120,68,53,121,499,24.2%,261,114,78,39,117,492,23.8%,251,103,72,61,133,487,27.3%,308,108,37,41,78,494,15.8%,1514,677,557,381,938,3129,30.0%,
7865,Tippecanoe School Corp,263,220,309,268,577,1060,54.4%,241,194,315,268,583,1018,57.3%,286,231,263,257,520,1037,50.1%,353,287,255,190,445,1085,41.0%,321,291,203,187,390,1002,38.9%,334,278,209,227,436,1048,41.6%,1798,1501,1554,1397,2951,6250,47.2%,
7875,West Lafayette Com School Corp,17,21,48,89,137,175,78.3%,24,28,50,59,109,161,67.7%,23,30,43,97,140,193,72.5%,27,29,40,89,129,185,69.7%,23,35,40,71,111,169,65.7%,41,38,40,66,106,185,57.3%,155,181,261,471,732,1068,68.5%,
7935,Tri-Central Community Schools,28,12,16,6,22,62,35.5%,26,12,13,4,17,55,30.9%,17,17,17,13,30,64,46.9%,28,22,5,2,7,57,12.3%,25,18,8,2,10,53,18.9%,24,19,9,2,11,54,20.4%,148,100,68,29,97,345,28.1%,
7945,Tipton Community School Corp,19,15,22,35,57,91,62.6%,24,24,35,28,63,111,56.8%,32,24,25,20,45,101,44.6%,50,19,21,22,43,112,38.4%,42,24,14,10,24,90,26.7%,47,22,18,15,33,102,32.4%,214,128,135,130,265,607,43.7%,
7950,Union Co/Clg Corner Joint Sch Dist,18,21,39,32,71,110,64.5%,28,33,27,19,46,107,43.0%,25,32,27,14,41,98,41.8%,39,24,14,10,24,87,27.6%,36,33,20,9,29,98,29.6%,40,19,9,9,18,77,23.4%,186,162,136,93,229,577,39.7%,
7995,Evansville Vanderburgh School Corp,628,287,377,277,654,1569,41.7%,609,277,421,255,676,1562,43.3%,650,348,331,225,556,1554,35.8%,700,358,310,291,601,1659,36.2%,687,358,273,231,504,1549,32.5%,715,374,238,298,536,1625,33.0%,3989,2002,1950,1577,3527,9518,37.1%,
8010,North Vermillion Com Sch Corp,11,8,14,7,21,40,52.5%,20,12,10,5,15,47,31.9%,22,23,5,9,14,59,23.7%,31,13,9,4,13,57,22.8%,36,23,5,3,8,67,11.9%,36,23,1,2,3,62,4.8%,156,102,44,30,74,332,22.3%,
8020,South Vermillion Com Sch Corp,39,24,34,23,57,120,47.5%,40,30,39,18,57,127,44.9%,43,42,34,16,50,135,37.0%,52,34,18,14,32,118,27.1%,55,33,17,9,26,114,22.8%,73,21,6,8,14,108,13.0%,302,184,148,88,236,722,32.7%,
8030,Vigo County School Corp,307,209,274,180,454,970,46.8%,360,215,288,146,434,1009,43.0%,445,238,193,104,297,980,30.3%,466,229,146,115,261,956,27.3%,432,224,132,109,241,897,26.9%,493,197,109,120,229,919,24.9%,2503,1312,1142,774,1916,5731,33.4%,
8045,Manchester Community Schools,17,11,24,29,53,81,65.4%,21,22,25,32,57,100,57.0%,30,27,24,20,44,101,43.6%,19,27,34,17,51,97,52.6%,39,31,23,10,33,103,32.0%,27,28,15,9,24,79,30.4%,153,146,145,117,262,561,46.7%,
8050,MSD Wabash County Schools,44,23,33,23,56,123,45.5%,43,28,54,18,72,143,50.3%,31,23,36,23,59,113,52.2%,34,36,35,18,53,123,43.1%,48,46,22,19,41,135,30.4%,62,43,24,23,47,152,30.9%,262,199,204,124,328,789,41.6%,
8060,Wabash City Schools,30,21,21,13,34,85,40.0%,55,23,18,4,22,100,22.0%,36,31,18,12,30,97,30.9%,61,24,15,9,24,109,22.0%,51,37,25,5,30,118,25.4%,61,23,15,1,16,100,16.0%,294,159,112,44,156,609,25.6%,
8115,MSD Warren County,33,30,35,20,55,118,46.6%,27,23,31,20,51,101,50.5%,38,24,29,5,34,96,35.4%,44,37,33,16,49,130,37.7%,44,41,13,9,22,107,20.6%,50,33,15,6,21,104,20.2%,236,188,156,76,232,656,35.4%,
8130,Warrick County School Corp,83,109,237,282,519,711,73.0%,74,98,268,281,549,721,76.1%,114,153,209,278,487,754,64.6%,166,183,193,223,416,765,54.4%,147,188,203,197,400,735,54.4%,157,193,173,256,429,779,55.1%,741,924,1283,1517,2800,4465,62.7%,
8205,Salem Community Schools,37,26,34,23,57,120,47.5%,50,20,43,22,65,135,48.1%,43,26,30,28,58,127,45.7%,50,29,27,17,44,123,35.8%,62,26,14,6,20,108,18.5%,80,42,13,6,19,141,13.5%,322,169,161,102,263,754,34.9%,
8215,East Washington School Corp,27,27,26,21,47,101,46.5%,19,18,38,30,68,105,64.8%,40,30,19,7,26,96,27.1%,33,17,31,11,42,92,45.7%,50,30,25,14,39,119,32.8%,36,28,28,19,47,111,42.3%,205,150,167,102,269,624,43.1%,
8220,West Washington School Corp,7,11,14,31,45,63,71.4%,12,16,28,19,47,75,62.7%,5,6,8,40,48,59,81.4%,8,10,22,22,44,62,71.0%,22,16,16,15,31,69,44.9%,31,10,15,5,20,61,32.8%,85,69,103,132,235,389,60.4%,
8305,Nettle Creek School Corporation,18,17,30,15,45,80,56.3%,22,20,32,9,41,83,49.4%,24,32,19,11,30,86,34.9%,31,24,24,15,39,94,41.5%,19,29,18,8,26,74,35.1%,56,37,9,8,17,110,15.5%,170,159,132,66,198,527,37.6%,
8355,Western Wayne Schools,18,11,16,5,21,50,42.0%,19,14,10,9,19,52,36.5%,19,6,15,2,17,42,40.5%,17,10,11,6,17,44,38.6%,23,22,6,3,9,54,16.7%,26,9,4,5,9,44,20.5%,122,72,62,30,92,286,32.2%,
8360,Centerville-Abington Com Schs,37,31,50,14,64,132,48.5%,45,36,35,17,52,133,39.1%,46,46,35,14,49,141,34.8%,21,30,53,37,90,141,63.8%,41,42,30,22,52,135,38.5%,55,45,28,16,44,144,30.6%,245,230,231,120,351,826,42.5%,
8375,Northeastern Wayne Schools,14,21,27,18,45,80,56.3%,39,21,28,6,34,94,36.2%,24,26,25,14,39,89,43.8%,31,21,26,9,35,87,40.2%,42,33,18,8,26,101,25.7%,41,35,26,17,43,119,36.1%,191,157,150,72,222,570,38.9%,
8385,Richmond Community Schools,131,51,61,61,122,304,40.1%,129,61,63,41,104,294,35.4%,183,64,57,18,75,322,23.3%,195,51,39,15,54,300,18.0%,227,62,23,13,36,325,11.1%,254,31,14,12,26,311,8.4%,1119,320,257,160,417,1856,22.5%,
8425,Southern Wells Com Schools,22,22,22,12,34,78,43.6%,25,18,22,12,34,77,44.2%,19,18,19,14,33,70,47.1%,31,15,21,9,30,76,39.5%,16,21,15,16,31,68,45.6%,21,10,7,16,23,54,42.6%,134,104,106,79,185,423,43.7%,
8435,Norwell Community Schools,36,32,58,48,106,174,60.9%,41,39,68,36,104,184,56.5%,53,44,42,54,96,193,49.7%,30,44,62,45,107,181,59.1%,49,47,41,42,83,179,46.4%,61,65,48,39,87,213,40.8%,270,271,319,264,583,1124,51.9%,
8445,MSD Bluffton-Harrison,31,37,50,27,77,145,53.1%,41,31,41,14,55,127,43.3%,45,25,34,17,51,121,42.1%,52,25,37,31,68,145,46.9%,59,43,22,17,39,141,27.7%,49,47,14,11,25,121,20.7%,277,208,198,117,315,800,39.4%,
8515,North White School Corp,25,16,18,9,27,68,39.7%,40,14,18,1,19,73,26.0%,45,20,5,4,9,74,12.2%,47,11,7,2,9,67,13.4%,55,15,1,1,2,72,2.8%,45,20,8,3,11,76,14.5%,257,96,57,20,77,430,17.9%,
8525,Frontier School Corporation,16,12,13,12,25,53,47.2%,12,12,21,5,26,50,52.0%,17,12,13,6,19,48,39.6%,13,7,8,12,20,40,50.0%,14,15,11,17,28,57,49.1%,10,11,10,11,21,42,50.0%,82,69,76,63,139,290,47.9%,
8535,Tri-County School Corporation,7,11,19,18,37,55,67.3%,13,14,23,19,42,69,60.9%,19,18,8,10,18,55,32.7%,21,22,17,4,21,64,32.8%,15,18,11,6,17,50,34.0%,17,15,17,4,21,53,39.6%,92,98,95,61,156,346,45.1%,
