Data Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scores reflect all ILEARN Spring 2024 testers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*** - Indicates less than 10 students in group.  Results have been supressed to protect student privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grade 3,,,,,,,Grade 4,,,,,,,Grade 5,,,,,,,Grade 6,,,,,,,Grade 7,,,,,,,Grade 8,,,,,,,Corporation Total,,,,,,,
1820,Garrett-Keyser-Butler Com Sch Corp,46,41,28,7,35,122,28.7%,37,24,30,12,42,103,40.8%,48,34,19,9,28,110,25.5%,56,35,21,16,37,128,28.9%,54,38,26,12,38,130,29.2%,62,31,30,8,38,131,29.0%,303,203,154,64,218,724,30.1%,
1835,DeKalb Co Ctl United Sch Dist,78,56,76,61,137,271,50.6%,73,59,83,60,143,275,52.0%,67,54,63,43,106,227,46.7%,107,78,51,24,75,260,28.8%,97,80,52,27,79,256,30.9%,96,58,52,35,87,241,36.1%,518,385,377,250,627,1530,41.0%,
1875,Delaware Community School Corp,28,33,52,62,114,175,65.1%,31,38,75,57,132,201,65.7%,38,43,58,42,100,181,55.2%,72,37,53,39,92,201,45.8%,75,45,45,26,71,191,37.2%,69,66,46,34,80,215,37.2%,313,262,329,260,589,1164,50.6%,
1885,Wes-Del Community Schools,8,13,31,16,47,68,69.1%,8,10,27,10,37,55,67.3%,29,18,15,7,22,69,31.9%,30,15,15,11,26,71,36.6%,20,25,8,6,14,59,23.7%,35,13,10,9,19,67,28.4%,130,94,106,59,165,389,42.4%,
1895,Liberty-Perry Community Sch Corp,15,14,32,23,55,84,65.5%,9,12,48,28,76,97,78.4%,20,24,34,20,54,98,55.1%,13,21,29,27,56,90,62.2%,16,15,25,31,56,87,64.4%,27,21,22,21,43,91,47.3%,100,107,190,150,340,547,62.2%,
1900,Cowan Community School Corp,19,7,23,10,33,59,55.9%,13,16,22,8,30,59,50.8%,23,14,23,12,35,72,48.6%,9,19,21,16,37,65,56.9%,17,23,15,3,18,58,31.0%,26,24,7,4,11,61,18.0%,107,103,111,53,164,374,43.9%,
1910,Yorktown Community Schools,34,37,57,82,139,210,66.2%,60,50,70,39,109,219,49.8%,50,63,61,47,108,221,48.9%,68,48,61,57,118,234,50.4%,59,54,51,50,101,214,47.2%,96,62,40,48,88,246,35.8%,367,314,340,323,663,1344,49.3%,
1940,Daleville Community Schools,20,16,27,17,44,80,55.0%,18,22,22,11,33,73,45.2%,27,18,19,16,35,80,43.8%,21,23,23,14,37,81,45.7%,39,16,18,9,27,82,32.9%,42,15,10,7,17,74,23.0%,167,110,119,74,193,470,41.1%,
1970,Muncie Community Schools,203,68,62,50,112,383,29.2%,171,70,77,59,136,377,36.1%,220,91,53,41,94,405,23.2%,230,51,37,30,67,348,19.3%,237,53,29,21,50,340,14.7%,268,54,16,7,23,345,6.7%,1329,387,274,208,482,2198,21.9%,
2040,Northeast Dubois Co Sch Corp,6,3,18,23,41,50,82.0%,9,10,17,17,34,53,64.2%,15,16,18,19,37,68,54.4%,7,10,16,22,38,55,69.1%,8,13,23,20,43,64,67.2%,16,19,14,4,18,53,34.0%,61,71,106,105,211,343,61.5%,
