Data Notes:,,,,,,,,,,,,,,,,,,,,,,,
Scores reflect all ILEARN Spring 2024 testers,,,,,,,,,,,,,,,,,,,,,,,
*** - Indicates less than 10 students in group.  Results have been supressed to protect student privacy,,,,,,,,,,,,,,,,,,,,,,,
,,Grade 3,,,Grade 4,,,Grade 5,,,Grade 6,,,Grade 7,,,Grade 8,,,Corporation Total,,,
Corp ID,Corp Name,"ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
%","ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
%","ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
%","ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
9365,Enlace Academy,6,74,8.1%,2,73,2.7%,2,73,2.7%,3,71,4.2%,2,71,2.8%,5,75,6.7%,20,437,4.6%,
9380,Christel House Academy South,5,53,9.4%,8,53,15.1%,6,59,10.2%,2,52,3.8%,4,64,6.3%,2,56,3.6%,27,337,8.0%,
9395,Christel House Academy West,3,55,5.5%,4,51,7.8%,3,55,5.5%,2,53,3.8%,2,54,3.7%,1,54,1.9%,15,322,4.7%,
9400,KIPP Indy College Prep Middle,,,,,,,,,,5,117,4.3%,3,123,2.4%,2,129,1.6%,10,369,2.7%,
9410,KIPP Indy Unite Elementary,10,107,9.3%,9,103,8.7%,8,107,7.5%,,,,,,,,,,27,317,8.5%,
9425,Tindley Genesis Academy,3,65,4.6%,3,44,6.8%,1,41,2.4%,2,45,4.4%,,,,,,,9,195,4.6%,
9430,Tindley Summit Academy,5,36,13.9%,1,27,3.7%,0,24,0.0%,3,19,15.8%,,,,,,,9,106,8.5%,
9445,Charles A Tindley Accelerated Sch,,,,,,,,,,,,,1,72,1.4%,1,67,1.5%,2,139,1.4%,
9460,Thea Bowman Leadership Academy,9,68,13.2%,2,39,5.1%,2,47,4.3%,5,60,8.3%,5,64,7.8%,1,68,1.5%,24,346,6.9%,
9485,SE Neighborhood Sch of Excellence,3,67,4.5%,12,73,16.4%,5,62,8.1%,5,63,7.9%,1,68,1.5%,4,57,7.0%,30,390,7.7%,
9495,Joshua Academy,6,43,14.0%,6,34,17.6%,3,27,11.1%,0,15,0.0%,,,,,,,15,119,12.6%,
9505,Indiana Agriculture and Technology,,,,,,,,,,,,,1,34,2.9%,1,49,2.0%,2,83,2.4%,
9531,Paramount Online Academy,1,14,7.1%,2,19,10.5%,3,27,11.1%,1,40,2.5%,2,47,4.3%,6,55,10.9%,15,202,7.4%,
9533,Promise Prep,1,17,5.9%,1,11,9.1%,,,,,,,,,,,,,2,28,7.1%,
9534,Indy Steam Academy,6,20,30.0%,2,18,11.1%,0,14,0.0%,1,21,4.8%,***,8,***,,,,9,81,11.1%,
9535,Gary Lighthouse Charter School,5,74,6.8%,4,67,6.0%,3,55,5.5%,5,85,5.9%,7,76,9.2%,2,86,2.3%,26,443,5.9%,
9536,Lawrence County Independent Schools,5,19,26.3%,5,24,20.8%,4,21,19.0%,0,16,0.0%,1,20,5.0%,4,20,20.0%,19,120,15.8%,
9537,The Nature School of Central Indiana,2,15,13.3%,0,21,0.0%,4,15,26.7%,0,15,0.0%,1,14,7.1%,1,12,8.3%,8,92,8.7%,
9538,Herron Preparatory Academy,18,45,40.0%,17,50,34.0%,10,17,58.8%,,,,,,,,,,45,112,40.2%,
9545,21st Century Charter Sch of Gary,14,78,17.9%,9,86,10.5%,6,53,11.3%,7,75,9.3%,3,71,4.2%,2,83,2.4%,41,446,9.2%,
9555,East Chicago Urban Enterprise Academy,18,50,36.0%,14,47,29.8%,10,51,19.6%,4,44,9.1%,3,40,7.5%,5,49,10.2%,54,281,19.2%,
9575,Victory College Prep,14,74,18.9%,17,86,19.8%,18,76,23.7%,15,73,20.5%,19,80,23.8%,17,78,21.8%,100,467,21.4%,
9595,East Chicago Lighthouse Charter,5,51,9.8%,2,54,3.7%,3,46,6.5%,0,56,0.0%,1,46,2.2%,1,41,2.4%,12,294,4.1%,
9605,IN Sch for the Blind & Vis Imprd,***,2,***,***,8,***,***,8,***,***,7,***,***,4,***,***,5,***,0,34,0.0%,
9610,Indiana School For The Deaf,0,27,0.0%,0,17,0.0%,2,26,7.7%,3,39,7.7%,1,20,5.0%,1,23,4.3%,7,152,4.6%,
9615,Andrew J Brown Academy,8,67,11.9%,9,64,14.1%,16,60,26.7%,1,55,1.8%,4,52,7.7%,11,53,20.8%,49,351,14.0%,
9620,Burris Laboratory School,26,44,59.1%,20,46,43.5%,14,48,29.2%,21,57,36.8%,15,58,25.9%,20,61,32.8%,116,314,36.9%,
9645,Avondale Meadows Academy,3,60,5.0%,1,38,2.6%,,,,,,,,,,,,,4,98,4.1%,
9665,Geist Montessori Academy,21,44,47.7%,8,29,27.6%,5,25,20.0%,4,26,15.4%,***,7,***,***,8,***,41,139,29.5%,
9680,Paramount Brookside ,49,96,51.0%,20,84,23.8%,49,84,58.3%,62,89,69.7%,31,86,36.0%,31,76,40.8%,242,515,47.0%,
9685,Aspire Charter Academy,16,69,23.2%,13,78,16.7%,17,63,27.0%,13,73,17.8%,3,64,4.7%,5,66,7.6%,67,413,16.2%,
9690,Renaissance Academy Charter School,10,37,27.0%,12,34,35.3%,7,20,35.0%,10,29,34.5%,4,25,16.0%,5,21,23.8%,48,166,28.9%,
9705,Hammond Academy of Science & Tech,,,,,,,,,,16,90,17.8%,8,92,8.7%,12,79,15.2%,36,261,13.8%,
9722,Springville Community Academy,8,21,38.1%,5,19,26.3%,5,31,16.1%,4,17,23.5%,7,23,30.4%,***,9,***,31,120,25.8%,
9725,Canaan Community Academy,2,22,9.1%,3,21,14.3%,0,15,0.0%,0,18,0.0%,1,14,7.1%,1,14,7.1%,7,104,6.7%,
9735,Inspire Academy - A Sch of Inquiry,1,20,5.0%,0,19,0.0%,1,16,6.3%,0,20,0.0%,0,20,0.0%,0,15,0.0%,2,110,1.8%,
9737,Liberty Grove Schools,1,37,2.7%,0,40,0.0%,1,45,2.2%,2,33,6.1%,,,,,,,4,155,2.6%,
9760,Smith Academy for Excellence,,,,***,3,***,***,2,***,***,5,***,2,14,14.3%,0,12,0.0%,5,36,13.9%,
9785,IN Math & Science Academy,37,65,56.9%,17,62,27.4%,33,54,61.1%,25,51,49.0%,17,54,31.5%,19,58,32.8%,148,344,43.0%,
9790,Anderson Preparatory Academy,5,51,9.8%,3,53,5.7%,2,48,4.2%,1,71,1.4%,0,75,0.0%,2,76,2.6%,13,374,3.5%,
9829,Monarca Academy,,,,,,,,,,3,24,12.5%,9,78,11.5%,,,,12,102,11.8%,
9835,The Bloomington Project School,19,36,52.8%,16,33,48.5%,16,41,39.0%,9,32,28.1%,7,24,29.2%,14,28,50.0%,81,194,41.8%,
9870,Discovery Charter School,39,74,52.7%,27,74,36.5%,24,59,40.7%,11,50,22.0%,12,38,31.6%,12,42,28.6%,125,337,37.1%,
9875,Rock Creek Community Academy,23,57,40.4%,17,51,33.3%,12,49,24.5%,10,45,22.2%,8,53,15.1%,7,39,17.9%,77,294,26.2%,
9895,IN Math & Science Academy - North,5,41,12.2%,2,46,4.3%,1,43,2.3%,5,49,10.2%,0,69,0.0%,6,58,10.3%,19,306,6.2%,
9905,Indiana Connections Academy,26,165,15.8%,21,168,12.5%,22,209,10.5%,31,261,11.9%,35,336,10.4%,58,472,12.3%,193,1611,12.0%,
9920,Damar Charter Academy,***,2,***,***,5,***,***,6,***,***,7,***,***,4,***,1,12,8.3%,1,36,2.8%,
9925,Phalen Leadership Academy - IN Inc,1,29,3.4%,3,26,11.5%,1,18,5.6%,1,17,5.9%,0,24,0.0%,0,14,0.0%,6,128,4.7%,
9935,Vision Academy,2,48,4.2%,3,29,10.3%,5,31,16.1%,4,47,8.5%,1,42,2.4%,3,52,5.8%,18,249,7.2%,
9950,Dugger Union Community School Corp,6,46,13.0%,6,31,19.4%,7,45,15.6%,9,46,19.6%,2,50,4.0%,3,55,5.5%,33,273,12.1%,
9954,Phalen Leadership Academy at Louis B Russell School 48,0,41,0.0%,3,36,8.3%,4,36,11.1%,5,30,16.7%,,,,,,,12,143,8.4%,
9955,Mays Community Academy,2,12,16.7%,1,19,5.3%,2,15,13.3%,5,15,33.3%,,,,,,,10,61,16.4%,
9960,Success Academy Primary School,12,95,12.6%,7,80,8.8%,10,85,11.8%,,,,,,,,,,29,260,11.2%,
9965,Career Academy Middle School,,,,,,,,,,7,113,6.2%,5,139,3.6%,7,125,5.6%,19,377,5.0%,
9970,ACE Preparatory Academy,0,16,0.0%,3,20,15.0%,5,19,26.3%,,,,,,,,,,8,55,14.5%,
9975,Global Preparatory Academy,13,98,13.3%,9,46,19.6%,6,61,9.8%,1,70,1.4%,6,62,9.7%,2,37,5.4%,37,374,9.9%,
9980,Steel City Academy,1,23,4.3%,1,22,4.5%,0,25,0.0%,2,28,7.1%,1,14,7.1%,4,23,17.4%,9,135,6.7%,
9985,Seven Oaks Classical School,32,52,61.5%,29,43,67.4%,19,41,46.3%,18,33,54.5%,17,46,37.0%,11,26,42.3%,126,241,52.3%,
9990,Higher Institute of Arts & Tech,0,26,0.0%,2,24,8.3%,0,23,0.0%,2,27,7.4%,1,21,4.8%,1,25,4.0%,6,146,4.1%,
