Data Notes:,,,,,,,,,,,,,,,,,,,,,,,
Scores reflect all ILEARN Spring 2024 testers,,,,,,,,,,,,,,,,,,,,,,,
*** - Indicates less than 10 students in group.  Results have been supressed to protect student privacy,,,,,,,,,,,,,,,,,,,,,,,
,,Grade 3,,,Grade 4,,,Grade 5,,,Grade 6,,,Grade 7,,,Grade 8,,,Corporation Total,,,
Corp ID,Corp Name,"ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
%","ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
%","ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
%","ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
2645,Rochester Community School Corp,35,127,27.6%,29,123,23.6%,25,109,22.9%,19,104,18.3%,24,112,21.4%,10,100,10.0%,142,675,21.0%,
2650,Caston School Corporation,13,66,19.7%,23,65,35.4%,22,70,31.4%,16,53,30.2%,16,63,25.4%,15,75,20.0%,105,392,26.8%,
2725,East Gibson School Corporation,11,59,18.6%,13,41,31.7%,19,49,38.8%,24,59,40.7%,4,47,8.5%,8,60,13.3%,79,315,25.1%,
2735,North Gibson School Corporation,38,123,30.9%,34,143,23.8%,21,146,14.4%,21,134,15.7%,24,138,17.4%,25,129,19.4%,163,813,20.0%,
2765,South Gibson School Corporation,53,120,44.2%,59,130,45.4%,49,141,34.8%,64,187,34.2%,90,173,52.0%,83,155,53.5%,398,906,43.9%,
2815,Eastbrook Community Sch Corp,44,104,42.3%,34,113,30.1%,33,105,31.4%,47,121,38.8%,38,107,35.5%,44,129,34.1%,240,679,35.3%,
2825,Madison-Grant United School Corp,11,101,10.9%,22,120,18.3%,17,149,11.4%,17,150,11.3%,22,191,11.5%,15,234,6.4%,104,945,11.0%,
2855,Mississinewa Community School Corp,36,140,25.7%,62,190,32.6%,43,150,28.7%,39,157,24.8%,40,179,22.3%,34,160,21.3%,254,976,26.0%,
2865,Marion Community Schools,33,237,13.9%,43,236,18.2%,35,266,13.2%,33,215,15.3%,15,243,6.2%,19,231,8.2%,178,1428,12.5%,
2920,Bloomfield School District,14,68,20.6%,18,67,26.9%,19,79,24.1%,14,80,17.5%,8,63,12.7%,2,40,5.0%,75,397,18.9%,
2940,Eastern Greene Schools,13,78,16.7%,23,78,29.5%,15,88,17.0%,16,79,20.3%,24,87,27.6%,25,105,23.8%,116,515,22.5%,
2950,Linton-Stockton School Corporation,39,103,37.9%,53,95,55.8%,32,93,34.4%,32,108,29.6%,26,95,27.4%,22,102,21.6%,204,596,34.2%,
2960,MSD Shakamak Schools,17,43,39.5%,11,40,27.5%,11,52,21.2%,14,48,29.2%,5,42,11.9%,5,48,10.4%,63,273,23.1%,
2980,White River Valley School District,15,66,22.7%,17,48,35.4%,19,46,41.3%,13,37,35.1%,14,56,25.0%,14,47,29.8%,92,300,30.7%,
3005,Hamilton Southeastern Schools,882,1512,58.3%,899,1584,56.8%,824,1595,51.7%,821,1566,52.4%,809,1632,49.6%,756,1618,46.7%,4991,9507,52.5%,
3025,Hamilton Heights School Corp,45,162,27.8%,56,177,31.6%,74,181,40.9%,43,131,32.8%,72,203,35.5%,76,187,40.6%,366,1041,35.2%,
3030,Westfield-Washington Schools,478,788,60.7%,479,812,59.0%,317,701,45.2%,391,773,50.6%,370,727,50.9%,386,731,52.8%,2421,4532,53.4%,
3055,Sheridan Community Schools,34,91,37.4%,29,85,34.1%,21,76,27.6%,27,102,26.5%,28,90,31.1%,13,77,16.9%,152,521,29.2%,
3060,Carmel Clay Schools,747,1192,62.7%,806,1241,64.9%,730,1185,61.6%,747,1310,57.0%,787,1266,62.2%,762,1279,59.6%,4579,7473,61.3%,
3070,Noblesville Schools,389,783,49.7%,407,840,48.5%,342,806,42.4%,292,771,37.9%,373,790,47.2%,369,850,43.4%,2172,4840,44.9%,
3115,New Palestine Community Schools,146,281,52.0%,135,313,43.1%,123,262,46.9%,123,307,40.1%,134,295,45.4%,142,314,45.2%,803,1772,45.3%,
3125,Greenfield-Central Com Schools,123,308,39.9%,105,288,36.5%,97,304,31.9%,101,318,31.8%,84,336,25.0%,81,322,25.2%,591,1876,31.5%,
3135,Mt Vernon Community School Corp,133,331,40.2%,150,402,37.3%,128,357,35.9%,137,351,39.0%,91,383,23.8%,121,368,32.9%,760,2192,34.7%,
3145,Eastern Hancock Co Com Sch Corp,36,88,40.9%,35,87,40.2%,37,87,42.5%,26,101,25.7%,21,93,22.6%,39,94,41.5%,194,550,35.3%,
3160,Lanesville Community School Corp,30,70,42.9%,14,52,26.9%,17,56,30.4%,20,65,30.8%,15,39,38.5%,15,46,32.6%,111,328,33.8%,
3180,North Harrison Com School Corp,55,161,34.2%,57,150,38.0%,54,150,36.0%,50,161,31.1%,42,133,31.6%,61,142,43.0%,319,897,35.6%,
3190,South Harrison Com Schools,98,246,39.8%,85,219,38.8%,94,223,42.2%,83,208,39.9%,77,227,33.9%,80,212,37.7%,517,1335,38.7%,
3295,North West Hendricks Schools,93,140,66.4%,99,143,69.2%,82,133,61.7%,76,152,50.0%,45,134,33.6%,73,151,48.3%,468,853,54.9%,
3305,Brownsburg Community School Corp,485,706,68.7%,534,822,65.0%,478,789,60.6%,498,785,63.4%,510,831,61.4%,453,794,57.1%,2958,4727,62.6%,
3315,Avon Community School Corp,352,763,46.1%,415,806,51.5%,278,741,37.5%,311,820,37.9%,373,875,42.6%,455,829,54.9%,2184,4834,45.2%,
3325,Danville Community School Corp,88,216,40.7%,92,197,46.7%,77,214,36.0%,68,187,36.4%,92,225,40.9%,77,201,38.3%,494,1240,39.8%,
3330,Plainfield Community School Corp,178,406,43.8%,193,395,48.9%,181,438,41.3%,281,461,61.0%,230,443,51.9%,179,456,39.3%,1242,2599,47.8%,
3335,Mill Creek Community Sch Corp,39,103,37.9%,42,100,42.0%,49,98,50.0%,36,117,30.8%,44,109,40.4%,32,112,28.6%,242,639,37.9%,
3405,Blue River Valley Schools,8,39,20.5%,19,41,46.3%,5,33,15.2%,4,35,11.4%,5,41,12.2%,6,44,13.6%,47,233,20.2%,
3415,South Henry School Corp,12,49,24.5%,17,57,29.8%,13,61,21.3%,16,74,21.6%,6,60,10.0%,5,60,8.3%,69,361,19.1%,
3435,Shenandoah School Corporation,34,90,37.8%,48,94,51.1%,40,104,38.5%,40,102,39.2%,23,93,24.7%,38,101,37.6%,223,584,38.2%,
3445,New Castle Community School Corp,61,211,28.9%,51,205,24.9%,60,203,29.6%,35,190,18.4%,38,203,18.7%,35,215,16.3%,280,1227,22.8%,
3455,C A Beard Memorial School Corp,27,85,31.8%,32,87,36.8%,19,71,26.8%,18,65,27.7%,14,67,20.9%,14,80,17.5%,124,455,27.3%,
