2024 Spring-Summer Combined IREAD 3 Results,,,,
"Proficiency rates reflect best Spring/Summer result of first-time third grade cohort, including previous year 2nd grade proficient results",,,,
,,,,
Corp ID,Corporation Name,IREAD PASS N,IREAD TEST N,IREAD Pass %
3055,Sheridan Community Schools,73,89,82.0%
3060,Carmel Clay Schools,1088,1189,91.5%
3070,Noblesville Schools,696,783,88.9%
3115,New Palestine Community Schools,259,276,93.8%
3125,Greenfield-Central Com Schools,274,308,89.0%
3135,Mt Vernon Community School Corp,310,335,92.5%
3145,Eastern Hancock Co Com Sch Corp,81,87,93.1%
3160,Lanesville Community School Corp,73,74,98.6%
3180,North Harrison Com School Corp,146,166,88.0%
3190,South Harrison Com Schools,213,252,84.5%
3295,North West Hendricks Schools,139,140,99.3%
3305,Brownsburg Community School Corp,668,705,94.8%
3315,Avon Community School Corp,686,778,88.2%
3325,Danville Community School Corp,211,215,98.1%
3330,Plainfield Community School Corp,367,417,88.0%
3335,Mill Creek Community Sch Corp,91,104,87.5%
3405,Blue River Valley Schools,32,40,80.0%
3415,South Henry School Corp,44,48,91.7%
3435,Shenandoah School Corporation,75,88,85.2%
3445,New Castle Community School Corp,185,217,85.3%
3455,C A Beard Memorial School Corp,72,82,87.8%
3460,Taylor Community School Corp,55,81,67.9%
3470,Northwestern School Corp,110,120,91.7%
3480,Eastern Howard School Corporation,92,117,78.6%
3490,Western School Corporation,162,184,88.0%
3500,Kokomo School Corporation,295,378,78.0%
3625,Huntington Co Com Sch Corp,303,359,84.4%
3640,Medora Community School Corp,6,6,100.0%
3675,Seymour Community Schools,240,426,56.3%
3695,Brownstown Cnt Com Sch Corp,84,90,93.3%
3710,Crothersville Community Schools,24,39,61.5%
3785,Kankakee Valley School Corp,205,233,88.0%
3815,Rensselaer Central School Corp,89,104,85.6%
3945,Jay School Corporation,221,249,88.8%
3995,Madison Consolidated Schools,150,179,83.8%
4000,Southwestern-Jefferson Co Con,84,91,92.3%
4015,Jennings County School Corporation,211,250,84.4%
4145,Clark-Pleasant Community Sch Corp,454,521,87.1%
4205,Center Grove Community School Corp,652,705,92.5%
4215,Edinburgh Community School Corp,50,64,78.1%
4225,Franklin Community School Corp,316,377,83.8%
4245,Greenwood Community Sch Corp,263,281,93.6%
4255,Nineveh-Hensley-Jackson United,133,146,91.1%
4315,North Knox School Corp,73,88,83.0%
4325,South Knox School Corp,90,95,94.7%
