Day of Year,Year of Period End,Period Begin,Period End,Median Pending Sqft Yoy (tooltip),Median Pending Sqft Yoy,Median Pending Sqft
238,2024,7/29/2024,8/25/2024,-1.70%,-2%,"1,531.80"
239,2023,7/31/2023,8/27/2023,-3.50%,-4%,"1,557.60"
240,2022,8/1/2022,8/28/2022,2.50%,3%,"1,614.70"
245,2024,8/5/2024,9/1/2024,0.50%,1%,"1,572.60"
246,2023,8/7/2023,9/3/2023,-4.80%,-5%,"1,564.60"
247,2022,8/8/2022,9/4/2022,3.10%,3%,"1,644.20"
252,2024,8/12/2024,9/8/2024,3.20%,3%,"1,581.50"
253,2023,8/14/2023,9/10/2023,-4.30%,-4%,"1,532.80"
254,2022,8/15/2022,9/11/2022,-1.20%,-1%,"1,601"
259,2024,8/19/2024,9/15/2024,8.90%,9%,"1,696.70"
260,2023,8/21/2023,9/17/2023,-5.40%,-5%,"1,558.20"
261,2022,8/22/2022,9/18/2022,2.10%,2%,"1,647"
266,2024,8/26/2024,9/22/2024,8.10%,8%,"1,643.50"
267,2023,8/28/2023,9/24/2023,-7.50%,-7%,"1,520.50"
268,2022,8/29/2022,9/25/2022,6.50%,6%,"1,643.60"
273,2024,9/2/2024,9/29/2024,7.90%,8%,"1,649.70"
274,2023,9/4/2023,10/1/2023,-7.00%,-7%,"1,529.30"
275,2022,9/5/2022,10/2/2022,11.30%,11%,"1,644.10"
280,2024,9/9/2024,10/6/2024,3.60%,4%,"1,666"
281,2023,9/11/2023,10/8/2023,0.60%,1%,"1,607.80"
282,2022,9/12/2022,10/9/2022,7.40%,7%,"1,598.10"
287,2024,9/16/2024,10/13/2024,-3.80%,-4%,"1,535.80"
288,2023,9/18/2023,10/15/2023,1.10%,1%,"1,596.20"
289,2022,9/19/2022,10/16/2022,3.20%,3%,"1,579.10"
294,2024,9/23/2024,10/20/2024,0.90%,1%,"1,583.30"
295,2023,9/25/2023,10/22/2023,0.10%,0%,"1,569.50"
296,2022,9/26/2022,10/23/2022,0.80%,1%,"1,567.50"
301,2024,9/30/2024,10/27/2024,-4.10%,-4%,"1,502.30"
302,2023,10/2/2023,10/29/2023,-0.30%,0%,"1,567.30"
303,2022,10/3/2022,10/30/2022,-4.80%,-5%,"1,572.10"
308,2024,10/7/2024,11/3/2024,5.90%,6%,"1,545.30"
309,2023,10/9/2023,11/5/2023,-5.90%,-6%,"1,459.10"
310,2022,10/10/2022,11/6/2022,-5.10%,-5%,"1,550"
315,2024,10/14/2024,11/10/2024,2.60%,3%,"1,577.70"
316,2023,10/16/2023,11/12/2023,-3.80%,-4%,"1,537.50"
317,2022,10/17/2022,11/13/2022,-0.90%,-1%,"1,598.50"
322,2024,10/21/2024,11/17/2024,-1.60%,-2%,"1,585.60"
323,2023,10/23/2023,11/19/2023,0.50%,0%,"1,611.70"
324,2022,10/24/2022,11/20/2022,-0.20%,0%,"1,604"
329,2024,10/28/2024,11/24/2024,1.70%,2%,"1,637.10"
330,2023,10/30/2023,11/26/2023,7.80%,8%,"1,610.50"
331,2022,10/31/2022,11/27/2022,-5.90%,-6%,"1,494.60"
336,2024,11/4/2024,12/1/2024,0.00%,0%,"1,576.80"
337,2023,11/6/2023,12/3/2023,2.20%,2%,"1,577.30"
338,2022,11/7/2022,12/4/2022,-0.80%,-1%,"1,543.50"
343,2024,11/11/2024,12/8/2024,2.70%,3%,"1,521.30"
344,2023,11/13/2023,12/10/2023,-11.80%,-12%,"1,481.50"
345,2022,11/14/2022,12/11/2022,10.60%,11%,"1,679.20"
350,2024,11/18/2024,12/15/2024,5.00%,5%,"1,521.20"
351,2023,11/20/2023,12/17/2023,-16.00%,-16%,"1,449.20"
352,2022,11/21/2022,12/18/2022,13.60%,14%,"1,725"
357,2024,11/25/2024,12/22/2024,5.10%,5%,"1,508"
358,2023,11/27/2023,12/24/2023,-19.30%,-19%,"1,434.20"
359,2022,11/28/2022,12/25/2022,18.20%,18%,"1,776.70"
364,2024,12/2/2024,12/29/2024,1.30%,1%,"1,491"
365,2023,12/4/2023,12/31/2023,-16.90%,-17%,"1,471.20"
