Day of Year,Year of Period End,Period Begin,Period End,Median Pending Sqft Yoy (tooltip),Median Pending Sqft Yoy,Median Pending Sqft
49,2024,1/22/2024,2/18/2024,4.20%,4%,"1,831.70"
50,2023,1/23/2023,2/19/2023,-3.00%,-3%,"1,757.10"
51,2022,1/24/2022,2/20/2022,-14.90%,-15%,"1,811"
56,2024,1/29/2024,2/25/2024,0.50%,1%,"1,678.50"
57,2023,1/30/2023,2/26/2023,-12.50%,-12%,"1,669.50"
58,2022,1/31/2022,2/27/2022,-9.20%,-9%,"1,907.50"
63,2024,2/5/2024,3/3/2024,2.80%,3%,"1,755"
64,2023,2/6/2023,3/5/2023,-10.20%,-10%,"1,707.10"
65,2022,2/7/2022,3/6/2022,-8.40%,-8%,"1,900.50"
70,2024,2/12/2024,3/10/2024,-2.30%,-2%,"1,702.70"
71,2023,2/13/2023,3/12/2023,-7.70%,-8%,"1,742.20"
72,2022,2/14/2022,3/13/2022,0.70%,1%,"1,888.20"
77,2024,2/19/2024,3/17/2024,8.50%,8%,"1,884.20"
78,2023,2/20/2023,3/19/2023,-19.50%,-19%,"1,736.60"
79,2022,2/21/2022,3/20/2022,8.20%,8%,"2,157.20"
84,2024,2/26/2024,3/24/2024,-0.30%,0%,"1,930.50"
85,2023,2/27/2023,3/26/2023,-6.50%,-7%,"1,935.70"
86,2022,2/28/2022,3/27/2022,0.50%,0%,"2,070.50"
91,2024,3/4/2024,3/31/2024,-7.90%,-8%,"1,893.20"
92,2023,3/6/2023,4/2/2023,-6.10%,-6%,"2,054.60"
93,2022,3/7/2022,4/3/2022,10.60%,11%,"2,187.30"
98,2024,3/11/2024,4/7/2024,-2.40%,-2%,"2,110.50"
99,2023,3/13/2023,4/9/2023,-0.20%,0%,"2,162.50"
100,2022,3/14/2022,4/10/2022,7.70%,8%,"2,167.80"
105,2024,3/18/2024,4/14/2024,8.90%,9%,"2,347.20"
106,2023,3/20/2023,4/16/2023,10.10%,10%,"2,155.10"
107,2022,3/21/2022,4/17/2022,1.30%,1%,"1,957.80"
112,2024,3/25/2024,4/21/2024,17.50%,17%,"2,471.20"
113,2023,3/27/2023,4/23/2023,2.80%,3%,"2,103.80"
114,2022,3/28/2022,4/24/2022,6.20%,6%,"2,045.80"
119,2024,4/1/2024,4/28/2024,23.60%,24%,"2,608.20"
120,2023,4/3/2023,4/30/2023,7.30%,7%,"2,109.80"
121,2022,4/4/2022,5/1/2022,-1.40%,-1%,"1,966.50"
126,2024,4/8/2024,5/5/2024,20.20%,20%,"2,434.20"
127,2023,4/10/2023,5/7/2023,-1.30%,-1%,"2,024.30"
128,2022,4/11/2022,5/8/2022,2.20%,2%,"2,052"
133,2024,4/15/2024,5/12/2024,-10.70%,-11%,"2,040.30"
134,2023,4/17/2023,5/14/2023,10.40%,10%,"2,284.30"
135,2022,4/18/2022,5/15/2022,-1.90%,-2%,"2,068.60"
140,2024,4/22/2024,5/19/2024,-16.60%,-17%,"1,923.60"
141,2023,4/24/2023,5/21/2023,17.30%,17%,"2,307.10"
142,2022,4/25/2022,5/22/2022,-9.00%,-9%,"1,967.10"
147,2024,4/29/2024,5/26/2024,-18.00%,-18%,"1,795.30"
148,2023,5/1/2023,5/28/2023,11.80%,12%,"2,189.70"
149,2022,5/2/2022,5/29/2022,-11.20%,-11%,"1,958.60"
154,2024,5/6/2024,6/2/2024,-7.10%,-7%,"1,970.60"
155,2023,5/8/2023,6/4/2023,10.50%,10%,"2,121.10"
156,2022,5/9/2022,6/5/2022,-11.50%,-12%,"1,919.60"
161,2024,5/13/2024,6/9/2024,7.40%,7%,"2,025.50"
162,2023,5/15/2023,6/11/2023,0.80%,1%,"1,885.10"
163,2022,5/16/2022,6/12/2022,-9.40%,-9%,"1,869.80"
168,2024,5/20/2024,6/16/2024,3.40%,3%,"1,957.70"
169,2023,5/22/2023,6/18/2023,-4.40%,-4%,"1,894.10"
170,2022,5/23/2022,6/19/2022,0.50%,1%,"1,981.80"
175,2024,5/27/2024,6/23/2024,-1.50%,-1%,"1,897.70"
176,2023,5/29/2023,6/25/2023,-8.90%,-9%,"1,925.80"
177,2022,5/30/2022,6/26/2022,9.20%,9%,"2,112.80"
182,2024,6/3/2024,6/30/2024,-0.10%,0%,"1,912"
183,2023,6/5/2023,7/2/2023,-10.50%,-11%,"1,913.50"
184,2022,6/6/2022,7/3/2022,1.00%,1%,"2,139.10"
189,2024,6/10/2024,7/7/2024,2.90%,3%,"2,055"
190,2023,6/12/2023,7/9/2023,-11.70%,-12%,"1,997.50"
191,2022,6/13/2022,7/10/2022,5.00%,5%,"2,263.20"
196,2024,6/17/2024,7/14/2024,4.90%,5%,"2,074"
197,2023,6/19/2023,7/16/2023,-15.20%,-15%,"1,977.30"
198,2022,6/20/2022,7/17/2022,7.90%,8%,"2,330.80"
203,2024,6/24/2024,7/21/2024,15.90%,16%,"2,144.50"
204,2023,6/26/2023,7/23/2023,-16.40%,-16%,"1,849.80"
205,2022,6/27/2022,7/24/2022,0.40%,0%,"2,211.80"
210,2024,7/1/2024,7/28/2024,1.90%,2%,"1,996.20"
211,2023,7/3/2023,7/30/2023,-4.60%,-5%,"1,959.80"
212,2022,7/4/2022,7/31/2022,0.70%,1%,"2,053.80"
217,2024,7/8/2024,8/4/2024,-2.60%,-3%,"1,863.20"
218,2023,7/10/2023,8/6/2023,-7.70%,-8%,"1,913.30"
219,2022,7/11/2022,8/7/2022,3.90%,4%,"2,072.80"
224,2024,7/15/2024,8/11/2024,5.40%,5%,"1,988.70"
225,2023,7/17/2023,8/13/2023,1.90%,2%,"1,887.50"
226,2022,7/18/2022,8/14/2022,-7.70%,-8%,"1,852"
231,2024,7/22/2024,8/18/2024,-8.00%,-8%,"1,958.10"
232,2023,7/24/2023,8/20/2023,20.70%,21%,"2,127.50"
233,2022,7/25/2022,8/21/2022,-10.00%,-10%,"1,763"
238,2024,7/29/2024,8/25/2024,-15.50%,-15%,"1,922"
239,2023,7/31/2023,8/27/2023,22.20%,22%,"2,274"
240,2022,8/1/2022,8/28/2022,-4.00%,-4%,"1,861"
245,2024,8/5/2024,9/1/2024,-12.20%,-12%,"1,923"
246,2023,8/7/2023,9/3/2023,15.40%,15%,"2,190.70"
247,2022,8/8/2022,9/4/2022,-5.10%,-5%,"1,898.30"
252,2024,8/12/2024,9/8/2024,-5.80%,-6%,"2,034"
253,2023,8/14/2023,9/10/2023,7.60%,8%,"2,158.60"
254,2022,8/15/2022,9/11/2022,-3.20%,-3%,"2,006.10"
259,2024,8/19/2024,9/15/2024,-3.80%,-4%,"1,956.60"
260,2023,8/21/2023,9/17/2023,-2.90%,-3%,"2,033.80"
261,2022,8/22/2022,9/18/2022,0.60%,1%,"2,095.30"
266,2024,8/26/2024,9/22/2024,6.70%,7%,"1,916.70"
267,2023,8/28/2023,9/24/2023,-15.20%,-15%,"1,796.30"
268,2022,8/29/2022,9/25/2022,4.30%,4%,"2,118.10"
273,2024,9/2/2024,9/29/2024,1.40%,1%,"1,881.70"
274,2023,9/4/2023,10/1/2023,-8.00%,-8%,"1,856.50"
275,2022,9/5/2022,10/2/2022,1.00%,1%,"2,018.80"
280,2024,9/9/2024,10/6/2024,-6.30%,-6%,"1,709.50"
281,2023,9/11/2023,10/8/2023,-4.20%,-4%,"1,824.20"
282,2022,9/12/2022,10/9/2022,-2.20%,-2%,"1,904.30"
287,2024,9/16/2024,10/13/2024,-3.50%,-4%,"1,670"
288,2023,9/18/2023,10/15/2023,-16.70%,-17%,"1,731"
289,2022,9/19/2022,10/16/2022,4.10%,4%,"2,078.10"
294,2024,9/23/2024,10/20/2024,28.60%,29%,"2,148"
295,2023,9/25/2023,10/22/2023,-17.70%,-18%,"1,669.70"
296,2022,9/26/2022,10/23/2022,-4.40%,-4%,"2,029.80"
301,2024,9/30/2024,10/27/2024,30.70%,31%,"2,119.70"
302,2023,10/2/2023,10/29/2023,-20.30%,-20%,"1,622.30"
303,2022,10/3/2022,10/30/2022,-3.40%,-3%,"2,034.80"
308,2024,10/7/2024,11/3/2024,34.60%,35%,"2,154.70"
309,2023,10/9/2023,11/5/2023,-26.10%,-26%,"1,600.60"
310,2022,10/10/2022,11/6/2022,8.00%,8%,"2,167.10"
315,2024,10/14/2024,11/10/2024,39.80%,40%,"2,251.70"
316,2023,10/16/2023,11/12/2023,-21.50%,-21%,"1,610.60"
317,2022,10/17/2022,11/13/2022,8.60%,9%,"2,050.80"
322,2024,10/21/2024,11/17/2024,2.60%,3%,"1,803.70"
323,2023,10/23/2023,11/19/2023,-15.90%,-16%,"1,757.80"
324,2022,10/24/2022,11/20/2022,10.80%,11%,"2,089.30"
329,2024,10/28/2024,11/24/2024,3.20%,3%,"1,690"
330,2023,10/30/2023,11/26/2023,-19.60%,-20%,"1,637.80"
331,2022,10/31/2022,11/27/2022,1.60%,2%,"2,036.20"
336,2024,11/4/2024,12/1/2024,2.90%,3%,"1,731.20"
337,2023,11/6/2023,12/3/2023,-12.20%,-12%,"1,682"
338,2022,11/7/2022,12/4/2022,-12.50%,-12%,"1,915"
343,2024,11/11/2024,12/8/2024,-5.10%,-5%,"1,718.70"
344,2023,11/13/2023,12/10/2023,5.60%,6%,"1,812"
345,2022,11/14/2022,12/11/2022,-26.30%,-26%,"1,715.20"
350,2024,11/18/2024,12/15/2024,0.90%,1%,"1,796.50"
351,2023,11/20/2023,12/17/2023,7.70%,8%,"1,781"
352,2022,11/21/2022,12/18/2022,-28.40%,-28%,"1,654.30"
357,2024,11/25/2024,12/22/2024,0.40%,0%,"1,972.10"
358,2023,11/27/2023,12/24/2023,9.50%,9%,"1,964"
359,2022,11/28/2022,12/25/2022,-12.20%,-12%,"1,794.30"
364,2024,12/2/2024,12/29/2024,3.20%,3%,"1,882.20"
365,2023,12/4/2023,12/31/2023,1.20%,1%,"1,823.10"
