Data Notes:,,,,,,,,,,,,,,,,,,,,,,,
Scores reflect all ILEARN Spring 2024 testers,,,,,,,,,,,,,,,,,,,,,,,
*** - Indicates less than 10 students in group.  Results have been supressed to protect student privacy,,,,,,,,,,,,,,,,,,,,,,,
,,Grade 4,,,,,,,Grade 6,,,,,,,Corporation Total,,,,,,,
Corp ID,Corp Name,"Science
Below
Proficiency","Science 
Approaching
Proficiency","Science 
At
Proficiency","Science 
Above
Proficiency","Science
Total
Proficient","Science
Total
Tested","Science
Proficient 
%","Science
Below
Proficiency","Science 
Approaching
Proficiency","Science 
At
Proficiency","Science 
Above
Proficiency","Science
Total
9537,The Nature School of Central Indiana,1,11,8,1,9,21,42.9%,1,4,8,2,10,15,66.7%,2,15,16,3,19,36,52.8%,
9538,Herron Preparatory Academy,7,17,18,8,26,50,52.0%,,,,,,,,7,17,18,8,26,50,52.0%,
9545,21st Century Charter Sch of Gary,33,43,10,0,10,86,11.6%,37,32,2,4,6,75,8.0%,70,75,12,4,16,161,9.9%,
9555,East Chicago Urban Enterprise Academy,8,25,13,1,14,47,29.8%,10,22,10,2,12,44,27.3%,18,47,23,3,26,91,28.6%,
9575,Victory College Prep,32,42,12,0,12,86,14.0%,42,26,5,0,5,73,6.8%,74,68,17,0,17,159,10.7%,
9595,East Chicago Lighthouse Charter,30,18,5,1,6,54,11.1%,31,17,5,2,7,55,12.7%,61,35,10,3,13,109,11.9%,
9605,IN Sch for the Blind & Vis Imprd,***,***,***,***,***,9,***,***,***,***,***,***,7,***,9,6,1,0,1,16,6.3%,
9610,Indiana School For The Deaf,9,7,1,0,1,17,5.9%,21,12,6,0,6,39,15.4%,30,19,7,0,7,56,12.5%,
9615,Andrew J Brown Academy,26,30,8,0,8,64,12.5%,18,27,10,1,11,56,19.6%,44,57,18,1,19,120,15.8%,
9620,Burris Laboratory School,1,12,19,14,33,46,71.7%,4,25,11,17,28,57,49.1%,5,37,30,31,61,103,59.2%,
9645,Avondale Meadows Academy,12,20,5,0,5,37,13.5%,,,,,,,,12,20,5,0,5,37,13.5%,
9665,Geist Montessori Academy,4,10,9,5,14,28,50.0%,2,10,8,5,13,25,52.0%,6,20,17,10,27,53,50.9%,
9680,Paramount Brookside ,34,36,14,0,14,84,16.7%,24,40,16,9,25,89,28.1%,58,76,30,9,39,173,22.5%,
9685,Aspire Charter Academy,18,38,16,3,19,75,25.3%,33,29,8,3,11,73,15.1%,51,67,24,6,30,148,20.3%,
9690,Renaissance Academy Charter School,8,12,11,3,14,34,41.2%,4,13,6,6,12,29,41.4%,12,25,17,9,26,63,41.3%,
9705,Hammond Academy of Science & Tech,,,,,,,,4,11,2,4,6,21,28.6%,4,11,2,4,6,21,28.6%,
9722,Springville Community Academy,3,9,6,1,7,19,36.8%,6,5,3,3,6,17,35.3%,9,14,9,4,13,36,36.1%,
9725,Canaan Community Academy,7,10,4,0,4,21,19.0%,7,8,1,2,3,18,16.7%,14,18,5,2,7,39,17.9%,
9735,Inspire Academy - A Sch of Inquiry,9,6,3,1,4,19,21.1%,13,6,1,0,1,20,5.0%,22,12,4,1,5,39,12.8%,
9737,Liberty Grove Schools,26,14,0,0,0,40,0.0%,11,16,4,1,5,32,15.6%,37,30,4,1,5,72,6.9%,
9760,Smith Academy for Excellence,***,***,***,***,***,3,***,***,***,***,***,***,6,***,***,***,***,***,***,9,***,
