Day of Year,Year of Period End,Period Begin,Period End,Median Pending Sqft Yoy (tooltip),Median Pending Sqft Yoy,Median Pending Sqft
233,2022,7/25/2022,8/21/2022,-6.90%,-7%,"1,630.80"
238,2024,7/29/2024,8/25/2024,-22.20%,-22%,"1,546"
239,2023,7/31/2023,8/27/2023,20.60%,21%,"1,987.20"
240,2022,8/1/2022,8/28/2022,-3.00%,-3%,"1,648.30"
245,2024,8/5/2024,9/1/2024,-24.80%,-25%,"1,509.20"
246,2023,8/7/2023,9/3/2023,22.60%,23%,"2,006.80"
247,2022,8/8/2022,9/4/2022,-0.30%,0%,"1,636.80"
252,2024,8/12/2024,9/8/2024,-0.30%,0%,"1,767.50"
253,2023,8/14/2023,9/10/2023,2.40%,2%,"1,773.30"
254,2022,8/15/2022,9/11/2022,3.10%,3%,"1,731.80"
259,2024,8/19/2024,9/15/2024,-2.30%,-2%,"1,827"
260,2023,8/21/2023,9/17/2023,10.70%,11%,"1,869.60"
261,2022,8/22/2022,9/18/2022,-1.30%,-1%,"1,688.20"
266,2024,8/26/2024,9/22/2024,-7.60%,-8%,"1,765.60"
267,2023,8/28/2023,9/24/2023,3.90%,4%,"1,911"
268,2022,8/29/2022,9/25/2022,4.60%,5%,"1,838.50"
273,2024,9/2/2024,9/29/2024,-8.40%,-8%,"1,793.70"
274,2023,9/4/2023,10/1/2023,0.20%,0%,"1,958.30"
275,2022,9/5/2022,10/2/2022,8.60%,9%,"1,954.70"
280,2024,9/9/2024,10/6/2024,-14.10%,-14%,"1,619.20"
281,2023,9/11/2023,10/8/2023,0.20%,0%,"1,885.30"
282,2022,9/12/2022,10/9/2022,2.10%,2%,"1,880.70"
287,2024,9/16/2024,10/13/2024,-1.80%,-2%,"1,696.20"
288,2023,9/18/2023,10/15/2023,-7.60%,-8%,"1,727.20"
289,2022,9/19/2022,10/16/2022,1.00%,1%,"1,869.60"
294,2024,9/23/2024,10/20/2024,5.80%,6%,"1,754.80"
295,2023,9/25/2023,10/22/2023,-1.80%,-2%,"1,658.30"
296,2022,9/26/2022,10/23/2022,-8.90%,-9%,"1,689.10"
301,2024,9/30/2024,10/27/2024,7.60%,8%,"1,705.70"
302,2023,10/2/2023,10/29/2023,-3.70%,-4%,"1,585.70"
303,2022,10/3/2022,10/30/2022,-7.90%,-8%,"1,646.10"
308,2024,10/7/2024,11/3/2024,4.70%,5%,"1,883.50"
309,2023,10/9/2023,11/5/2023,9.40%,9%,"1,799.60"
310,2022,10/10/2022,11/6/2022,-1.10%,-1%,"1,645.60"
315,2024,10/14/2024,11/10/2024,3.20%,3%,"1,915.50"
316,2023,10/16/2023,11/12/2023,14.80%,15%,"1,857"
317,2022,10/17/2022,11/13/2022,-0.90%,-1%,"1,618.20"
322,2024,10/21/2024,11/17/2024,2.90%,3%,"1,865.20"
323,2023,10/23/2023,11/19/2023,3.10%,3%,"1,812.20"
324,2022,10/24/2022,11/20/2022,11.50%,12%,"1,757.50"
329,2024,10/28/2024,11/24/2024,10.30%,10%,"2,131.70"
330,2023,10/30/2023,11/26/2023,12.60%,13%,"1,933.20"
331,2022,10/31/2022,11/27/2022,-0.30%,0%,"1,717"
336,2024,11/4/2024,12/1/2024,16.20%,16%,"2,063.50"
337,2023,11/6/2023,12/3/2023,6.70%,7%,"1,775.50"
338,2022,11/7/2022,12/4/2022,-5.90%,-6%,"1,663.50"
343,2024,11/11/2024,12/8/2024,10.30%,10%,"1,935"
344,2023,11/13/2023,12/10/2023,10.50%,11%,"1,755"
345,2022,11/14/2022,12/11/2022,-14.30%,-14%,"1,588.20"
350,2024,11/18/2024,12/15/2024,-1.90%,-2%,"1,964.70"
351,2023,11/20/2023,12/17/2023,48.70%,49%,"2,002.50"
352,2022,11/21/2022,12/18/2022,-29.80%,-30%,"1,346.50"
357,2024,11/25/2024,12/22/2024,-3.90%,-4%,"1,871.20"
358,2023,11/27/2023,12/24/2023,31.60%,32%,"1,947.10"
359,2022,11/28/2022,12/25/2022,-16.20%,-16%,"1,479.50"
364,2024,12/2/2024,12/29/2024,-16.00%,-16%,"1,736.20"
365,2023,12/4/2023,12/31/2023,34.50%,35%,"2,066"
