2024 Spring-Summer IREAD-3 Results,,,,,,,
"Proficiency rates reflect best Spring/Summer result of first-time third grade cohort, including previous year 2nd grade proficient results",,,,,,,
Public/Nonpublic,Corp Id,Corp Name,Sch Id,Sch Name,IREAD PASS N,IREAD TEST N,IREAD Pass%
Public,7995,Evansville Vanderburgh School Corp,8317,Hebron Elementary School,76,107,71.0%
Public,7995,Evansville Vanderburgh School Corp,8321,Stockwell Elementary School,70,87,80.5%
Public,7995,Evansville Vanderburgh School Corp,8325,Highland Elementary School,109,134,81.3%
Public,7995,Evansville Vanderburgh School Corp,8329,Lodge Community School,21,48,43.8%
Public,7995,Evansville Vanderburgh School Corp,8353,Evans School,38,63,60.3%
Public,7995,Evansville Vanderburgh School Corp,8357,Stringtown Elementary School,37,52,71.2%
Public,7995,Evansville Vanderburgh School Corp,8361,Tekoppel Elementary School,61,84,72.6%
Public,7995,Evansville Vanderburgh School Corp,8365,Vogel Elementary School,59,66,89.4%
Public,7995,Evansville Vanderburgh School Corp,8376,Daniel Wertz Elementary School,27,37,73.0%
Public,7995,Evansville Vanderburgh School Corp,8381,West Terrace Elementary School,90,99,90.9%
Public,8010,North Vermillion Com Sch Corp,8403,North Vermillion Elementary School,30,37,81.1%
Public,8020,South Vermillion Com Sch Corp,8409,Central Elementary School,55,68,80.9%
Public,8020,South Vermillion Com Sch Corp,8431,Ernie Pyle Elementary School,12,12,100.0%
Public,8020,South Vermillion Com Sch Corp,8435,Van Duyn Elementary School,39,41,95.1%
Public,8030,Vigo County School Corp,8483,Vigo Virtual School Academy,***,6,***
Public,8030,Vigo County School Corp,8497,Sugar Creek Consolidated Elem Sch,48,65,73.8%
Public,8030,Vigo County School Corp,8505,Davis Park Elementary School,42,57,73.7%
Public,8030,Vigo County School Corp,8510,Adelaide De Vaney Elementary Sch,53,63,84.1%
Public,8030,Vigo County School Corp,8511,Dixie Bee Elementary School,87,99,87.9%
Public,8030,Vigo County School Corp,8517,Farrington Grove Elementary School,34,51,66.7%
Public,8030,Vigo County School Corp,8521,Fayette Elementary School,35,39,89.7%
Public,8030,Vigo County School Corp,8525,Rio Grande Elementary School,59,70,84.3%
Public,8030,Vigo County School Corp,8533,Benjamin Franklin Elem School,46,65,70.8%
Public,8030,Vigo County School Corp,8537,Blanche E Fuqua Elementary School,41,51,80.4%
Public,8030,Vigo County School Corp,8543,Hoosier Prairie Elementary School,50,58,86.2%
Public,8030,Vigo County School Corp,8549,Lost Creek Elementary School,102,111,91.9%
Public,8030,Vigo County School Corp,8575,Ouabache Elementary School,35,50,70.0%
Public,8030,Vigo County School Corp,8593,Riley Elementary School,38,46,82.6%
Public,8030,Vigo County School Corp,8605,Sugar Grove Elementary School,32,46,69.6%
Public,8030,Vigo County School Corp,8607,Terre Town Elementary School,61,79,77.2%
Public,8045,Manchester Community Schools,8633,Manchester Elementary School,69,82,84.1%
Public,8050,MSD Wabash County Schools,8656,Southwood Elementary School,43,55,78.2%
Public,8050,MSD Wabash County Schools,8657,Sharp Creek Elementary School,59,62,95.2%
Public,8060,Wabash City Schools,8706,O J Neighbours Elementary School,71,92,77.2%
Public,8115,MSD Warren County,8729,Williamsport Elementary School,25,30,83.3%
Public,8115,MSD Warren County,8733,Pine Village Elementary School,24,27,88.9%
Public,8115,MSD Warren County,8744,Warren Central Elementary School,50,60,83.3%
Public,8130,Warrick County School Corp,8761,Yankeetown Elementary School,41,47,87.2%
Public,8130,Warrick County School Corp,8764,John H Castle Elementary School,170,188,90.4%
Public,8130,Warrick County School Corp,8769,Elberfeld Elementary School,23,26,88.5%
Public,8130,Warrick County School Corp,8773,Lynnville Elementary School,31,33,93.9%
Public,8130,Warrick County School Corp,8777,Loge Elementary School,59,60,98.3%
Public,8130,Warrick County School Corp,8785,Tennyson Elementary School,13,13,100.0%
Public,8130,Warrick County School Corp,8801,Oakdale Elementary School,51,57,89.5%
Public,8130,Warrick County School Corp,8813,Chandler Elementary School,91,97,93.8%
Public,8130,Warrick County School Corp,8817,Newburgh Elementary School,92,99,92.9%
Public,8130,Warrick County School Corp,8819,Sharon Elementary School,104,110,94.5%
Public,8205,Salem Community Schools,8864,Bradie Shrum Elementary,89,124,71.8%
Public,8215,East Washington School Corp,8904,East Washington Elementary School,81,100,81.0%
Public,8220,West Washington School Corp,8894,West Washington Elementary School,66,67,98.5%
Public,8305,Nettle Creek School Corporation,8989,Hagerstown Elementary School,67,78,85.9%
Public,8355,Western Wayne Schools,8971,Western Wayne Elementary School,40,50,80.0%
Public,8360,Centerville-Abington Com Schs,8983,Centerville-Abington Elem School,78,95,82.1%
Public,8360,Centerville-Abington Com Schs,8984,Rose Hamilton Elementary School,36,36,100.0%
Public,8375,Northeastern Wayne Schools,8928,Northeastern Elementary School,74,78,94.9%
Public,8385,Richmond Community Schools,9013,Charles Elementary School,49,56,87.5%
Public,8385,Richmond Community Schools,9014,Crestdale Elementary School,46,54,85.2%
Public,8385,Richmond Community Schools,9017,Fairview Elementary School,27,44,61.4%
Public,8385,Richmond Community Schools,9038,Starr Elementary School,30,51,58.8%
Public,8385,Richmond Community Schools,9045,Vaile Elementary School,37,63,58.7%
Public,8385,Richmond Community Schools,9053,Westview Elementary School,29,39,74.4%
Public,8385,Richmond Community Schools,9056,Community Youth Services,***,7,***
Public,8425,Southern Wells Com Schools,9057,Southern Wells Elementary School,65,76,85.5%
Public,8435,Norwell Community Schools,9081,Ossian Elementary,74,84,88.1%
Public,8435,Norwell Community Schools,9085,Lancaster Central School,75,91,82.4%
Public,8445,MSD Bluffton-Harrison,9098,Bluffton-Harrison Elementary Sch,128,146,87.7%
Public,8515,North White School Corp,9119,North White Elementary School,49,69,71.0%
Public,8525,Frontier School Corporation,9113,Frontier Elementary,41,52,78.8%
Public,8535,Tri-County School Corporation,9143,Tri-County Intermediate School,47,53,88.7%
Public,8565,Twin Lakes School Corp,9129,Eastlawn Elementary School,24,32,75.0%
Public,8565,Twin Lakes School Corp,9157,Oaklawn Elementary School,52,71,73.2%
Public,8565,Twin Lakes School Corp,9163,Meadowlawn Elementary School,49,65,75.4%
Public,8625,Smith-Green Community Schools,9197,Churubusco Elementary School,86,88,97.7%
Public,8665,Whitley County Con Schools,9178,Little Turtle Elementary School,74,92,80.4%
Public,8665,Whitley County Con Schools,9179,Coesse School,39,45,86.7%
Public,8665,Whitley County Con Schools,9186,Northern Heights Elementary School,78,80,97.5%
Public,8665,Whitley County Con Schools,9196,Mary Raber Elementary School,26,30,86.7%
Public,8675,Invent Learning Hub,9532,Invent Learning Hub,13,21,61.9%
Public,8685,PLA at George H Fisher School 93,5593,PLA at George H Fisher School 93,27,52,51.9%
Public,8690,Dynamic Minds Academy,8692,Dynamic Minds Academy,***,5,***
Public,8950,Phalen Leadership Academy at Francis Scott Key School 103,5603,Phalen at Francis Scott Key 103,46,86,53.5%
Public,8980,The PATH School,9971,The PATH School,40,77,51.9%
Public,9000,Phalen Virtual Leadership Academy,9992,Phalen Virtual Leadership Academy,10,15,66.7%
Public,9004,Paramount School of Excellence South Bend,9008,Paramount School of Excellence South Bend,21,28,75.0%
Public,9022,Paramount School of Excellence Lafayette,9016,Paramount School of Excellence Lafayette,6,16,37.5%
Public,9027,Success Academy at Boys and Girls Club,1132,Success Academy at Boys and Girls Club,5,15,33.3%
Public,9030,Otwell Miller Academy,2019,Otwell Miller Academy,16,17,94.1%
Public,9043,Premier Arts Academy,9042,Premier Arts Academy,28,29,96.6%
